c,e
1.0,93.0
0.9949302915082383,93.0
0.9898605830164765,93.0
0.9847908745247148,93.0
0.9797211660329531,93.0
0.9746514575411914,93.0
0.9695817490494296,93.0
0.9645120405576679,93.0
0.9594423320659062,93.0
0.9543726235741445,93.0
0.9493029150823827,93.0
0.944233206590621,93.0
0.9391634980988594,93.0
0.9340937896070975,93.0
0.9290240811153359,93.0
0.9239543726235742,93.0
0.9188846641318125,93.0
0.9138149556400507,93.0
0.908745247148289,93.0
0.9036755386565273,93.0
0.8986058301647655,93.0
0.8935361216730038,93.0
0.8884664131812421,93.0
0.8833967046894804,93.0
0.8783269961977186,93.0
0.8732572877059569,93.0
0.8681875792141952,93.0
0.8631178707224335,93.0
0.8580481622306717,93.0
0.85297845373891,93.0
0.8479087452471483,93.0
0.8428390367553865,93.0
0.8377693282636248,93.0
0.8326996197718631,93.0
0.8276299112801014,93.0
0.8225602027883396,93.0
0.8174904942965779,93.0
0.8124207858048162,93.0
0.8073510773130546,93.0
0.8022813688212928,93.0
0.7972116603295311,93.0
0.7921419518377694,93.0
0.7870722433460076,93.0
0.7820025348542459,93.0
0.7769328263624842,93.0
0.7718631178707225,93.0
0.7667934093789607,93.0
0.761723700887199,93.0
0.7566539923954373,93.0
0.7515842839036755,93.0
0.7465145754119138,93.0
0.7414448669201521,93.0
0.7363751584283904,93.0
0.7313054499366286,93.0
0.7262357414448669,93.0
0.7211660329531052,93.0
0.7160963244613435,93.0
0.7110266159695817,93.0
0.70595690747782,93.0
0.7008871989860583,93.0
0.6958174904942965,93.0
0.6907477820025348,93.0
0.6856780735107731,93.0
0.6806083650190115,93.0
0.6755386565272496,93.0
0.670468948035488,93.0
0.6653992395437263,93.0
0.6603295310519645,93.0
0.6552598225602028,93.0
0.6501901140684411,93.0
0.6451204055766794,93.0
0.6400506970849176,93.0
0.6349809885931559,93.0
0.6299112801013942,93.0
0.6248415716096325,93.0
0.6197718631178707,93.0
0.614702154626109,93.0
0.6096324461343473,93.0
0.6045627376425855,93.0
0.5994930291508238,93.0
0.5944233206590621,93.0
0.5893536121673004,93.0
0.5842839036755386,93.0
0.5792141951837769,93.0
0.5741444866920152,93.0
0.5690747782002535,93.0
0.5640050697084917,93.0
0.55893536121673,93.0
0.5538656527249683,93.0
0.5487959442332065,93.0
0.5437262357414449,93.0
0.5386565272496832,93.0
0.5335868187579215,93.0
0.5285171102661597,93.0
0.523447401774398,93.0
0.5183776932826363,93.0
0.5133079847908745,93.0
0.5082382762991128,93.0
0.5031685678073511,93.0
0.49809885931558934,93.0
0.49302915082382764,93.0
0.4879594423320659,93.0
0.4828897338403042,93.0
0.47782002534854245,93.0
0.47275031685678076,93.0
0.467680608365019,93.0
0.46261089987325726,93.0
0.45754119138149557,93.0
0.4524714828897338,93.0
0.44740177439797213,93.0
0.4423320659062104,93.0
0.4372623574144487,93.0
0.43219264892268694,93.0
0.42712294043092525,93.0
0.4220532319391635,93.0
0.41698352344740175,93.0
0.41191381495564006,93.0
0.4068441064638783,93.0
0.4017743979721166,93.0
0.39670468948035487,93.0
0.3916349809885932,93.0
0.3865652724968314,93.0
0.38149556400506973,93.0
0.376425855513308,93.0
0.37135614702154623,93.0
0.36628643852978454,93.0
0.3612167300380228,93.0
0.3561470215462611,93.0
0.35107731305449935,93.0
0.34600760456273766,93.0
0.3409378960709759,93.0
0.3358681875792142,93.0
0.33079847908745247,93.0
0.3257287705956908,93.0
0.320659062103929,93.0
0.3155893536121673,93.0
0.3105196451204056,93.0
0.30544993662864384,93.0
0.30038022813688214,93.0
0.2953105196451204,93.0
0.2902408111533587,93.0
0.28517110266159695,93.0
0.28010139416983526,93.0
0.2750316856780735,93.0
0.26996197718631176,93.0
0.26489226869455007,93.0
0.2598225602027883,93.0
0.25475285171102663,93.0
0.24968314321926488,93.0
0.24461343472750316,93.0
0.23954372623574144,93.0
0.23447401774397972,93.0
0.229404309252218,93.0
0.22433460076045628,93.0
0.21926489226869456,93.0
0.21419518377693283,93.0
0.20912547528517111,93.0
0.20405576679340937,93.0
0.19898605830164764,93.0
0.19391634980988592,93.0
0.1888466413181242,93.0
0.18377693282636248,93.0
0.17870722433460076,93.0
0.17363751584283904,93.0
0.16856780735107732,93.0
0.1634980988593156,93.0
0.15842839036755388,93.0
0.15335868187579213,93.0
0.1482889733840304,93.0
0.1432192648922687,93.0
0.13814955640050697,93.0
0.13307984790874525,93.0
0.12801013941698353,93.0
0.1229404309252218,93.0
0.11787072243346007,93.0
0.11280101394169835,93.0
0.10773130544993663,93.0
0.10266159695817491,93.0
0.09759188846641319,93.0
0.09252217997465145,93.0
0.08745247148288973,93.0
0.08238276299112801,93.0
0.07731305449936629,93.0
0.07224334600760456,93.0
0.06717363751584284,93.0
0.062103929024081114,93.0
0.057034220532319393,93.0
0.051964512040557666,93.0
0.046894803548795945,93.0
0.04182509505703422,93.0
0.036755386565272496,93.0
0.031685678073510776,93.0
0.026615969581749048,93.0
0.021546261089987327,93.0
0.016476552598225603,93.0
0.011406844106463879,93.0
0.0063371356147021544,93.0
0.0012674271229404308,93.0
-0.0038022813688212928,93.0
